City,State,Number_of_Incidents,Requires_De_Escalation,Has_Use_of_Force_Continuum,Bans_Chokeholds_and_Strangleholds,Requires_Warning_Before_Shooting,Restricts_Shooting_at_Moving_Vehicles,Requires_Exhaust_All_Other_Means_Before_Shooting,Duty_to_Intervene,Requires_Comprehensive_Reporting,City Population
Akron,OH,35,0,0,1,1,0,0,1,0,197375.0
Alameda,CA,5,0,0,1,1,0,0,1,0,79827.0
Albany,GA,6,0,1,0,1,1,0,0,0,72634.0
Albany,OR,3,1,1,1,0,1,0,1,1,54442.0
Albemarle,NC,2,1,1,0,0,0,1,1,1,16073.0
Albuquerque,NM,153,1,0,1,1,1,0,1,1,560447.0
Alexandria,VA,13,0,1,1,0,1,1,1,0,158309.0
Alhambra,CA,5,1,0,1,1,0,0,1,0,84509.0
Allentown,PA,17,1,1,1,1,0,0,0,0,121156.0
Anaheim,CA,56,1,1,1,1,0,0,1,0,353085.0
Anchorage,AK,37,0,1,0,1,1,0,0,0,292090.0
Ann Arbor,MI,1,0,1,0,0,0,0,1,1,121093.0
Antioch,CA,22,0,0,1,1,0,0,1,0,111468.0
Appleton,WI,9,1,1,0,1,0,0,1,0,73891.0
Arcadia,CA,4,1,0,1,1,0,0,1,0,57053.0
Arlington,TX,25,1,1,1,1,0,1,1,1,397269.0
Arroyo Grande,CA,1,0,0,1,1,0,0,1,0,17924.0
Arvin,CA,2,1,0,1,0,0,0,1,0,21220.0
Atlanta,GA,146,1,1,1,1,0,0,1,1,497642.0
Atwater,CA,8,1,0,1,1,0,0,1,0,30336.0
Auburn,CA,2,0,1,1,1,0,0,1,0,14104.0
Auburn,NY,1,1,0,1,1,0,0,1,0,26383.0
Aurora,CO,51,1,1,1,1,1,1,1,1,379434.0
Austin,TX,81,1,1,1,0,0,0,1,0,965872.0
Azusa,CA,12,1,0,1,1,0,0,1,0,49584.0
Bainbridge Island,WA,2,1,0,1,1,0,1,1,0,24859.0
Bakersfield,CA,104,1,0,1,1,0,0,1,0,379879.0
Baltimore,MD,151,1,0,1,0,1,1,1,1,602274.0
Bangor,ME,5,1,1,1,0,0,0,1,0,32029.0
Barstow,CA,8,1,0,1,1,0,0,1,0,23547.0
Baton Rouge,LA,58,0,1,1,1,0,1,1,0,222191.0
Bay,MI,10,0,1,1,1,0,0,1,0,32892.0
Beaverton,OR,9,1,1,1,1,0,0,1,1,98567.0
Bellevue,WA,6,0,0,0,0,0,0,0,1,146145.0
Bellingham,WA,5,1,0,1,0,0,1,1,0,90821.0
Belmont,CA,1,1,0,1,1,0,0,1,0,26963.0
Beloit,WI,4,0,0,0,1,0,0,1,0,36804.0
Berkeley,CA,15,0,1,1,1,0,0,1,0,123065.0
Bethlehem,PA,10,0,0,1,1,0,0,1,1,75571.0
Beverly Hills,CA,2,0,1,1,1,0,1,1,0,33709.0
Bexley,OH,1,1,1,1,1,1,1,1,1,13805.0
Birmingham,AL,67,0,1,1,0,0,0,1,0,210928.0
Boca Raton,FL,12,1,1,1,0,0,0,1,0,98776.0
Boise,ID,19,1,0,0,1,0,0,0,0,228057.0
Boston,MA,20,1,1,1,0,0,1,1,0,689326.0
Bothell,WA,3,1,0,1,1,0,1,1,1,46386.0
Boulder,CO,7,1,1,1,1,0,1,1,1,108777.0
Brawley,CA,10,1,1,1,1,0,0,1,0,25942.0
Brea,CA,1,0,0,1,1,0,0,1,0,44182.0
Brentwood,CA,3,0,0,1,0,0,0,0,0,63013.0
Bridgeport,CT,11,1,1,1,1,0,0,1,1,145014.0
Brooklyn Center,MN,6,0,0,1,0,0,0,1,0,30755.0
Buena Park,CA,5,0,0,1,1,0,0,1,0,82228.0
Buffalo,NY,16,1,1,1,0,1,1,0,0,255805.0
Burbank,CA,8,1,0,1,1,1,0,1,0,103411.0
Burleson,TX,1,0,0,1,1,0,0,1,0,47151.0
Burlingame,CA,2,1,0,1,1,0,0,1,0,30071.0
Burlington,VT,4,1,1,1,1,0,1,1,1,42645.0
Burnsville,MN,4,0,0,1,0,0,0,1,0,61536.0
Cambridge,MA,1,0,0,1,1,0,0,1,1,117822.0
Canton,OH,15,1,1,1,1,1,1,1,1,70863.0
Carlsbad,CA,6,1,0,1,1,1,0,1,0,114411.0
Carmel,IN,2,1,1,1,0,0,0,1,0,99130.0
Carrollton,TX,4,0,0,0,0,0,0,0,0,137319.0
Cedar,UT,1,1,0,0,1,0,0,1,0,33404.0
Cedar Hill,TX,4,1,1,1,1,0,1,1,1,48337.0
Cedar Park,TX,3,1,1,1,1,0,0,1,0,77181.0
Cedar Rapids,IA,11,0,0,1,1,0,0,1,0,133125.0
Ceres,CA,7,1,0,1,1,0,0,1,0,48355.0
Champaign,IL,6,1,1,0,1,0,0,1,0,88288.0
Chandler,AZ,15,1,1,0,1,0,1,1,0,257076.0
Charleston,SC,19,1,1,0,1,1,1,0,1,137041.0
Charlotte,NC,62,1,1,1,1,1,1,1,1,873570.0
Charlottesville,VA,5,1,1,1,1,1,0,1,0,47217.0
