Location of death (city),State,Number_of_Incidents,Requires_De_Escalation,Has_Use_of_Force_Continuum,Bans_Chokeholds_and_Strangleholds,Requires_Warning_Before_Shooting,Restricts_Shooting_at_Moving_Vehicles,Requires_Exhaust_All_Other_Means_Before_Shooting,Duty_to_Intervene,Requires_Comprehensive_Reporting,City Population,Incidents_Per_Capita,Latitude,Longitude
York,PA,36,1,1,1,1,1,1,1,1,44019.0,81.78286648947045,39.955105,-76.735969
St. Louis,MO,209,1,1,1,1,1,1,1,1,304709.0,68.59003180083292,38.6560148,-90.2396068
Harrisburg,PA,23,1,1,1,1,0,1,1,1,49247.0,46.703352488476455,40.2677739,-76.869852
Fredericksburg,VA,13,0,0,1,0,1,0,1,0,29059.0,44.73657042568568,36.8780134,-77.4037145
Eureka,CA,12,0,0,1,1,0,0,1,0,26938.0,44.5467369515183,40.7987139,-124.1693501
Greenville,SC,31,1,1,0,1,0,1,1,0,69648.0,44.50953365495061,34.7940661,-82.3186631
Maryville,TN,13,1,0,1,1,0,0,1,0,29325.0,44.3307757885763,35.7830899,-83.9108968
Lexington,SC,9,1,0,0,0,0,0,1,1,21847.0,41.19558749485055,33.9088009,-81.236043
Dayton,OH,55,0,1,1,1,0,1,0,0,140444.0,39.16151633391245,39.7462286,-84.1881935
Brawley,CA,10,1,1,1,1,0,0,1,0,25942.0,38.54752910338448,32.9902324,-115.537615
San Bernardino,CA,82,1,1,1,1,0,0,1,0,216784.0,37.8256697911285,34.1313887,-117.3008823
Sonoma,CA,4,0,0,1,1,0,0,0,0,11082.0,36.094567767550984,38.4018477,-122.7241868
Winchester,VA,10,1,1,1,1,1,0,1,0,27912.0,35.826884494124386,39.1798266,-78.1455512
Orlando,FL,102,0,1,0,0,1,0,1,0,284817.0,35.81246905908004,28.5669363,-81.2075609
Gardena,CA,21,0,0,1,1,0,0,1,0,59401.0,35.35294018619215,33.9030171,-118.3206348
Saginaw,MI,17,1,1,1,1,1,1,1,0,48407.0,35.11888776416634,43.418901,-83.965107
Barstow,CA,8,1,0,1,1,0,0,1,0,23547.0,33.974603983522314,34.887293,-117.0229161
