City,State,Net_Leaning,Number_of_Incidents,Requires_De_Escalation,Has_Use_of_Force_Continuum,Bans_Chokeholds_and_Strangleholds,Requires_Warning_Before_Shooting,Restricts_Shooting_at_Moving_Vehicles,Requires_Exhaust_All_Other_Means_Before_Shooting,Duty_to_Intervene,Requires_Comprehensive_Reporting,City Population,Latitude,Longitude
Akron,OH,0.0956776588120781,35,0,0,1,1,0,0,1,0,197375.0,41.090236,-81.574747
Alameda,CA,0.6250730453075695,5,0,0,1,1,0,0,1,0,79827.0,37.7642723,-122.2675352
Albany,GA,0.3999603522981507,6,0,1,0,1,1,0,0,0,72634.0,31.571507,-84.15812
Albany,OR,-0.2336729074889867,3,1,1,1,0,1,0,1,1,54442.0,44.6078993,-123.0676459
Albemarle,NC,-0.5105925336633371,2,1,1,0,0,0,1,1,1,16073.0,35.3656307,-80.2017092
Albuquerque,NM,0.2444094587361063,153,1,0,1,1,1,0,1,1,560447.0,35.1527206,-106.5880844
Alexandria,VA,0.4434834241053931,13,0,1,1,0,1,1,1,0,158309.0,38.8138529,-77.1113368
Alhambra,CA,0.441649577369667,5,1,0,1,1,0,0,1,0,84509.0,34.0688668,-118.1514407
Allentown,PA,0.0759502579677662,17,1,1,1,1,0,0,0,0,121156.0,40.6002864,-75.4728969
Anaheim,CA,0.0903421756466175,56,1,1,1,1,0,0,1,0,353085.0,33.8324111,-117.9687931
Ann Arbor,MI,0.4662042898465007,1,0,1,0,0,0,0,1,1,121093.0,42.276936,-83.7740479
Antioch,CA,0.453297346021785,22,0,0,1,1,0,0,1,0,111468.0,38.0031972,-121.8398373
Appleton,WI,-0.0715353321389331,9,1,1,0,1,0,0,1,0,73891.0,44.2897435,-88.421154
Arcadia,CA,0.441649577369667,4,1,0,1,1,0,0,1,0,57053.0,34.1117135,-118.0104748
Arlington,TX,0.1672134493139611,25,1,1,1,1,0,1,1,1,397269.0,32.6409421,-97.0969342
Arroyo Grande,CA,0.1306961193132724,1,0,0,1,1,0,0,1,0,17924.0,35.1111693,-120.5636368
Arvin,CA,-0.1019286453624726,2,1,0,1,0,0,0,1,0,21220.0,35.1978531,-118.8414306
Atlanta,GA,0.4963232576732566,146,1,1,1,1,0,0,1,1,497642.0,33.7527031,-84.3811976
Atwater,CA,0.1059478322327009,8,1,0,1,1,0,0,1,0,30336.0,37.3533836,-120.6688461
Auburn,CA,-0.0664400809923261,2,0,1,1,1,0,0,1,0,14104.0,38.9301464,-121.0945946
Auburn,NY,-0.0914853101196953,1,1,0,1,1,0,0,1,0,26383.0,42.9338767,-76.5787842
Aurora,CO,0.3736969182831133,51,1,1,1,1,1,1,1,1,379434.0,39.7112538,-104.8470999
Austin,TX,0.3101878347232583,81,1,1,1,0,0,0,1,0,965872.0,30.2746126,-97.721093
Azusa,CA,0.441649577369667,12,1,0,1,1,0,0,1,0,49584.0,34.1316359,-117.8993239
Bainbridge Island,WA,0.1809645053947766,2,1,0,1,1,0,1,1,0,24859.0,47.6325686,-122.5678307
Bakersfield,CA,-0.1019286453624726,104,1,0,1,1,0,0,1,0,379879.0,35.3048326,-119.0155443
Baltimore,MD,0.3524859408945853,151,1,0,1,0,1,1,1,1,602274.0,39.2939891,-76.6182034
Bangor,ME,-0.0825699789859868,5,1,1,1,0,0,0,1,0,32029.0,44.7953929,-68.7940492
Barstow,CA,0.106525745128577,8,1,0,1,1,0,0,1,0,23547.0,34.887293,-117.0229161
Baton Rouge,LA,0.1304483576870238,58,0,1,1,1,0,1,1,0,222191.0,30.423967,-91.139497
Bay,MI,-0.1157414322462866,10,0,1,1,1,0,0,1,0,32892.0,43.591416,-83.888588
Beaverton,OR,0.3461067787191798,9,1,1,1,1,0,0,1,1,98567.0,45.4430491,-122.8269958
Bellevue,WA,0.5271700204955444,6,0,0,0,0,0,0,0,1,146145.0,47.6156454,-122.2037246
Bellingham,WA,0.2392944741018612,5,1,0,1,0,0,1,1,0,90821.0,48.7453714,-122.4779487
Belmont,CA,0.5769176301466128,1,1,0,1,1,0,0,1,0,26963.0,37.5225676,-122.2736388
Beloit,WI,0.1115276476101218,4,0,0,0,1,0,0,1,0,36804.0,42.5424959,-89.0251689
Berkeley,CA,0.6250730453075695,15,0,1,1,1,0,0,1,0,123065.0,37.86807,-122.2783559
Bethlehem,PA,0.0429123729456917,10,0,0,1,1,0,0,1,1,75571.0,40.612106,-75.3458519
Beverly Hills,CA,0.441649577369667,2,0,1,1,1,0,1,1,0,33709.0,34.1128442,-118.4303741
